layer,lang_a,lang_b,point_estimate,ci_low,ci_high,ci_level,boot_std
0,english,hindi,0.08513906183670396,0.08271720313636013,0.08796659131233092,0.95,0.0014490276403812687
0,english,marathi,0.09411941304820116,0.09132633607443344,0.09739828964429269,0.95,0.001481852003815417
0,english,bengali,0.1347705741726498,0.13077756845220534,0.13912895022934113,0.95,0.002210589007728607
0,english,gujarati,0.18261537374651912,0.17906834702906266,0.1880239849250692,0.95,0.00229310912859616
0,english,punjabi,0.22191688758728043,0.2166514373684406,0.22872901751707178,0.95,0.0031629553609390094
0,english,urdu,0.1538054310811361,0.14971943871481422,0.15862251268951233,0.95,0.002423930351725379
0,english,tamil,0.16578553324802628,0.16210070497292667,0.17068459891432955,0.95,0.0021834954210836212
0,english,telugu,0.17895040453038674,0.1750343368734959,0.18313419118373123,0.95,0.002162508179890507
0,english,malayalam,0.1776672028976418,0.17386918788440614,0.18239249976351038,0.95,0.002222703290404073
0,english,kannada,0.19580023066599506,0.1919938206554525,0.2006538428431771,0.95,0.002289599091180265
0,hindi,marathi,0.008513230657355538,0.00781291919717112,0.009851908183398251,0.95,0.0005175086493433072
0,hindi,bengali,0.05292748778703396,0.050977963144808965,0.05539161971453662,0.95,0.0011479423391770585
0,hindi,gujarati,0.09054259381534542,0.0882113271447465,0.09356579080528508,0.95,0.00142448069945777
0,hindi,punjabi,0.11790838659177494,0.11361082307135632,0.12168477586684867,0.95,0.0021122993203396704
0,hindi,urdu,0.10837339031403391,0.10509932246337728,0.11210187606815339,0.95,0.001925306249001185
0,hindi,tamil,0.07694107570744739,0.07386351606760894,0.08043739406255175,0.95,0.0017205657782975617
0,hindi,telugu,0.09485218685640671,0.09248021288955742,0.09773352979551622,0.95,0.0013744710086023848
0,hindi,malayalam,0.08032884385709743,0.07825444533169841,0.0832414802791729,0.95,0.0013903152705824057
0,hindi,kannada,0.10749058869793655,0.10453618050689527,0.11117847195685274,0.95,0.0017570821707994996
0,marathi,bengali,0.05115669936842117,0.04918081975149498,0.05369180124034069,0.95,0.001216556302458212
0,marathi,gujarati,0.09436668416959174,0.09139679667454327,0.09718619956824734,0.95,0.0014696155123949965
0,marathi,punjabi,0.11589014126823546,0.11200244894287228,0.12043858074435174,0.95,0.0021811365222026533
0,marathi,urdu,0.10464640040722246,0.10185569526860451,0.10877780347970276,0.95,0.0019032900181399756
0,marathi,tamil,0.07262728511852469,0.06979299050000523,0.07564224484712782,0.95,0.0014679357043899687
0,marathi,telugu,0.09312528019200945,0.09072814321439625,0.09589594577489054,0.95,0.0013704200649382835
0,marathi,malayalam,0.08534990112796703,0.08234857169115749,0.08843653182621787,0.95,0.0015770032141727303
0,marathi,kannada,0.10398701169564176,0.1013564707147048,0.10714231835197532,0.95,0.0015384793684970197
0,bengali,gujarati,0.11030179559455082,0.10767079958974747,0.11355631625465662,0.95,0.0014382507277432702
0,bengali,punjabi,0.11801975484806948,0.1140887011873945,0.12139817245243388,0.95,0.0018173003754086666
0,bengali,urdu,0.1327334421939371,0.12971438887666417,0.13694274068549087,0.95,0.0019317709440268946
0,bengali,tamil,0.07492452252305026,0.07254361987411284,0.07737025040621724,0.95,0.0013196610868029465
0,bengali,telugu,0.09776822458706447,0.095256612466738,0.10038941991123385,0.95,0.0012973847295401875
0,bengali,malayalam,0.1058327447942403,0.10331927156211315,0.10884897251368704,0.95,0.001487157593286285
0,bengali,kannada,0.11702216731747907,0.11454157774300965,0.12091277748018,0.95,0.0016776726440826033
0,gujarati,punjabi,0.08897182497629066,0.08612213985644486,0.092007717909687,0.95,0.0015345407462436084
0,gujarati,urdu,0.17639858127194305,0.1718701871715542,0.1815260065902841,0.95,0.0024672069319466527
0,gujarati,tamil,0.09127236614630423,0.08822009899093033,0.09508561086270924,0.95,0.0016915885136505558
0,gujarati,telugu,0.07062387553453177,0.06881505183190935,0.07358788766690388,0.95,0.0012577891024143386
0,gujarati,malayalam,0.11735940068264858,0.11556650442515225,0.12051261635320072,0.95,0.0013620881084930394
0,gujarati,kannada,0.07657737388371046,0.07440439203168242,0.07962407547791434,0.95,0.001362006142896719
0,punjabi,urdu,0.1295325842428305,0.12572285924900636,0.13353532225687223,0.95,0.0019114047847838247
0,punjabi,tamil,0.08306569195890467,0.08044893478153495,0.0864861552439711,0.95,0.0015032738175505967
0,punjabi,telugu,0.12094381049405697,0.11797384502827908,0.12483416650355564,0.95,0.0016838643484681387
0,punjabi,malayalam,0.0905282281709508,0.088197895220002,0.0934244065098554,0.95,0.0013904012515529986
0,punjabi,kannada,0.10241343559216601,0.09952175829144136,0.10573588488076867,0.95,0.0016192952474668911
0,urdu,tamil,0.12218667140992368,0.11885573880176441,0.1259568436580773,0.95,0.0018763352548981686
0,urdu,telugu,0.16083191908993383,0.157174126110159,0.16547108848285322,0.95,0.0022186656552478233
0,urdu,malayalam,0.1469575134728036,0.14285031045671204,0.15116513086839464,0.95,0.002081466363950205
0,urdu,kannada,0.1335115281945661,0.13033579481955437,0.1371344323738789,0.95,0.0018225898730447208
0,tamil,telugu,0.09398694418491374,0.09106575737892399,0.09725502251831172,0.95,0.0016282265636811007
0,tamil,malayalam,0.07073896042119618,0.06847306296293737,0.07390260990070753,0.95,0.0013770522693320316
0,tamil,kannada,0.10165886062155106,0.09881768709222608,0.10450529534842223,0.95,0.0015772552025159453
0,telugu,malayalam,0.12823954183430308,0.12483067625458756,0.13120422151050795,0.95,0.0016007406636286687
0,telugu,kannada,0.054966387565890146,0.05310438204916287,0.05766785719292615,0.95,0.001115846444381086
0,malayalam,kannada,0.1228993308056292,0.12020135261033515,0.12637936696308372,0.95,0.0016124379367325075
1,english,hindi,0.11156497863271046,0.10805932166938945,0.11564936755492923,0.95,0.002037492032046648
1,english,marathi,0.12182768700986384,0.1184259189614768,0.12666350454311434,0.95,0.0021697627017965514
1,english,bengali,0.12245888864124196,0.11946932793613782,0.1266078801980255,0.95,0.0019609333426369425
1,english,gujarati,0.13212328370186657,0.1277703948074705,0.13637743917447256,0.95,0.002294938966032689
1,english,punjabi,0.16083509352278647,0.15701727046163969,0.16615829171987517,0.95,0.002159246536310017
1,english,urdu,0.16129522651911105,0.1570077401504218,0.1669188115759995,0.95,0.0028083242996376876
1,english,tamil,0.132277962558767,0.12879957660759944,0.1367115552110781,0.95,0.001962233544010294
1,english,telugu,0.11920763479607002,0.11558814061973102,0.1233742382719167,0.95,0.00188662150448391
1,english,malayalam,0.11004715165394315,0.10707633520293419,0.11389891608177238,0.95,0.0018318967283069286
1,english,kannada,0.1426568430670216,0.13879333260600857,0.14717895972281023,0.95,0.0021715352396394633
1,hindi,marathi,0.011790974793942399,0.010615350741245505,0.013789065743198178,0.95,0.000744722698339369
1,hindi,bengali,0.02802345767750762,0.02687988213443811,0.030341073310397284,0.95,0.0008843236864131495
1,hindi,gujarati,0.0677111171388487,0.0658002669886986,0.07022415247955875,0.95,0.001125506048531995
1,hindi,punjabi,0.07262559632664671,0.07025499902727134,0.07571066697674342,0.95,0.0014242749339503378
1,hindi,urdu,0.040858781151543844,0.038961086763230145,0.04309629534557041,0.95,0.0010751938945829796
1,hindi,tamil,0.03974069215045295,0.03799039184297315,0.041961092117770445,0.95,0.001053549182672415
1,hindi,telugu,0.07775153149348689,0.07545417255278052,0.08038887860641823,0.95,0.0013642826076579763
1,hindi,malayalam,0.06388081328161414,0.061550335010532364,0.06652194700967465,0.95,0.0012342853116333
1,hindi,kannada,0.0772825754967347,0.07502311147217149,0.08003983714289062,0.95,0.0012876778698847474
1,marathi,bengali,0.023855924690342294,0.022480257463320094,0.025591241094257665,0.95,0.0007688969457777271
1,marathi,gujarati,0.06865053363815193,0.0670911807154488,0.07129094299583721,0.95,0.0011177304966015129
1,marathi,punjabi,0.07446558420427027,0.07212687039867757,0.07734418632466415,0.95,0.001312813087102982
1,marathi,urdu,0.05611312494026023,0.053921245463307066,0.059424266149828604,0.95,0.0013190592263605248
1,marathi,tamil,0.034765758013463946,0.033048193988908334,0.03699294036897864,0.95,0.0010174356855956234
1,marathi,telugu,0.08147004664917203,0.07935830399758124,0.08510910344714531,0.95,0.0014477971048162928
1,marathi,malayalam,0.05828769036348098,0.05601797805678527,0.06088502419582847,0.95,0.0012339985134539615
1,marathi,kannada,0.08230895224468339,0.08026322401191938,0.08521449202980239,0.95,0.001318644536143807
1,bengali,gujarati,0.05974509716503002,0.05788061878240731,0.06226976886470895,0.95,0.0011396393064103407
1,bengali,punjabi,0.06866746351901519,0.06680747266379952,0.07129061232594468,0.95,0.0011204927368730182
1,bengali,urdu,0.07699121301215292,0.07459367792890739,0.08036934712767561,0.95,0.0014738386268789573
1,bengali,tamil,0.03607942061470474,0.03474632892321559,0.03843835139838981,0.95,0.0009370384511122761
1,bengali,telugu,0.06738788581632746,0.0655277087315075,0.07033436535351231,0.95,0.0013602616090517658
1,bengali,malayalam,0.0511194699993313,0.049693981654682966,0.0534864021772409,0.95,0.0009337584132425761
1,bengali,kannada,0.08376243290156303,0.08176235196369325,0.08651122368957115,0.95,0.0013431715342640327
1,gujarati,punjabi,0.07248737699689421,0.07057038421040727,0.07523528457428369,0.95,0.0012794133530707565
1,gujarati,urdu,0.11346338265670068,0.11088206686913987,0.11691770705163299,0.95,0.001473912802214128
1,gujarati,tamil,0.06972071752422124,0.06808210029645385,0.07216943586776278,0.95,0.0011218610907275006
1,gujarati,telugu,0.07297773503683919,0.07080535288384883,0.07637199920799154,0.95,0.0014206923143837708
1,gujarati,malayalam,0.06257761834382855,0.06018728580007164,0.06555449344295336,0.95,0.0013747219700871347
1,gujarati,kannada,0.06181367094214489,0.060179701835839414,0.06430212679903975,0.95,0.0010670328604011747
