layer,lang_a,lang_b,point_estimate,ci_low,ci_high,ci_level,boot_std
0,english,hindi,0.22099768507655523,0.217526542654257,0.22521560933279475,0.95,0.00207771516209298
0,english,marathi,0.23669604884451653,0.2327403978813892,0.2408777607787861,0.95,0.0022535700612324053
0,english,bengali,0.24930847257846733,0.2453113275381636,0.253938321890397,0.95,0.002038696607544152
0,english,gujarati,0.27309790876030565,0.26899505025235615,0.27753246926726866,0.95,0.0023837295958066083
0,english,punjabi,0.2858926412847087,0.2814449074632497,0.29024227528710117,0.95,0.0023597510135430905
0,english,urdu,0.18024279070991747,0.1766392769156251,0.18476162501036347,0.95,0.001955007308827368
0,english,tamil,0.26328281962613737,0.2592979945513779,0.26804140125155906,0.95,0.002262795613478824
0,english,telugu,0.2997912919917056,0.2952286407568085,0.3040798901871251,0.95,0.002325210119068947
0,english,malayalam,0.272414873809671,0.2678139462518353,0.2771436047694048,0.95,0.002410828592704678
0,english,kannada,0.29964154901385565,0.2943776712772034,0.305094781534349,0.95,0.00277468803595568
0,hindi,marathi,0.01160939364876804,0.009423802218481441,0.014343520466425237,0.95,0.0013031759750316923
0,hindi,bengali,0.071306511565378,0.06961706416807752,0.07358552560007614,0.95,0.0009684229192644354
0,hindi,gujarati,0.07097212771072327,0.06886603525864649,0.07319334117264052,0.95,0.0010946230594343406
0,hindi,punjabi,0.12749985362295885,0.12526524672072636,0.13029510640734854,0.95,0.0012490793354115021
0,hindi,urdu,0.05593776238564444,0.05418067383664517,0.058134531514842464,0.95,0.0010046759503359263
0,hindi,tamil,0.06552824914218507,0.06390553644092806,0.06733505781102762,0.95,0.0008892837819286193
0,hindi,telugu,0.06755051172810779,0.06568982262237913,0.0698777698814849,0.95,0.0011560950512365413
0,hindi,malayalam,0.10464966063158797,0.10255060666989402,0.10734249307917608,0.95,0.0012559380243318864
0,hindi,kannada,0.11667313130110135,0.1141236605530076,0.12018298147059626,0.95,0.0015566117484447004
0,marathi,bengali,0.0839781129660572,0.08132927010836265,0.08693054288862095,0.95,0.0014206677745699605
0,marathi,gujarati,0.07466250755224592,0.07245821835521969,0.07692848517424448,0.95,0.0011777017974336427
0,marathi,punjabi,0.1392094150257786,0.1357583967227343,0.1420118968441182,0.95,0.001565057404461256
0,marathi,urdu,0.06974920903193235,0.06732916484150116,0.07336018830885994,0.95,0.0015193384763059824
0,marathi,tamil,0.06797501267773537,0.06565311164431517,0.07047049331535694,0.95,0.0012267722354880096
0,marathi,telugu,0.07318593731341709,0.07120931704873644,0.0753271272559866,0.95,0.0010690502966940899
0,marathi,malayalam,0.11232152543431836,0.10987939053622592,0.11513978015353968,0.95,0.0014299119984880783
0,marathi,kannada,0.11654941770728022,0.11370928753359583,0.12057076355471655,0.95,0.0017395059848300666
0,bengali,gujarati,0.05831329158829257,0.056870941699694345,0.05983861948511988,0.95,0.0007092715812902867
0,bengali,punjabi,0.13911810060225482,0.13678833903105161,0.1417061584373481,0.95,0.001263191694569633
0,bengali,urdu,0.09389359958855846,0.09184399810159632,0.09667421938479763,0.95,0.0011930897015012597
0,bengali,tamil,0.07667127957530477,0.07522982091975632,0.07826785048750753,0.95,0.0007960721694134076
0,bengali,telugu,0.07377775008159829,0.07253418911263225,0.07553031030956779,0.95,0.0007794917198741341
0,bengali,malayalam,0.07879878357857856,0.07686085534437809,0.08077922713785278,0.95,0.0010519118173759475
0,bengali,kannada,0.08985979315464684,0.08750323347156727,0.09240305312016654,0.95,0.001352634775348673
0,gujarati,punjabi,0.10889733338780208,0.10721146668428364,0.11108771535795092,0.95,0.0009899883520324585
0,gujarati,urdu,0.1212982433904263,0.11877692270684652,0.12381547757649781,0.95,0.0013150889799017687
0,gujarati,tamil,0.07802919986367003,0.07623274539559823,0.07981914020782885,0.95,0.000905647489961263
0,gujarati,telugu,0.04781833343884395,0.04703396178606139,0.049057117612246286,0.95,0.0005246508157129689
0,gujarati,malayalam,0.07829251588671512,0.07599587546251747,0.08086888097011105,0.95,0.0012005951832262415
0,gujarati,kannada,0.08316757283822702,0.08154084793721225,0.08545396296395995,0.95,0.001037640621830389
0,punjabi,urdu,0.17517481271469323,0.17286844239413135,0.17806802975966424,0.95,0.0013377063673435108
0,punjabi,tamil,0.1367636754750876,0.13525719606164985,0.13861984024356613,0.95,0.0009039207975851009
0,punjabi,telugu,0.1365823530364964,0.13458884880919894,0.1390730066143291,0.95,0.0012134083934611187
0,punjabi,malayalam,0.12349738379473399,0.12152457115275055,0.125373951092947,0.95,0.0010555180165736939
0,punjabi,kannada,0.16417008435758682,0.16146637613474468,0.16668696289424237,0.95,0.0014341128063126755
0,urdu,tamil,0.11338953598364747,0.11115296354906755,0.1161602403297846,0.95,0.0013140857400898483
0,urdu,telugu,0.1324528323621031,0.1302910999498984,0.1351852631177585,0.95,0.0012885932164230774
0,urdu,malayalam,0.14827084197629184,0.1455519830642379,0.1513449429735996,0.95,0.0015163154103019277
0,urdu,kannada,0.12869721082347604,0.12583784784975846,0.13198262879932648,0.95,0.0016207938258065646
0,tamil,telugu,0.05445469495662184,0.05304361393040474,0.05613384771996192,0.95,0.0008367050755420719
0,tamil,malayalam,0.056521277487003,0.05510300402629333,0.05831384647493705,0.95,0.0008589751158616461
0,tamil,kannada,0.08194756455438727,0.08000431336105397,0.08466815538219229,0.95,0.0011451275849729322
0,telugu,malayalam,0.07058062644996108,0.06917676358767869,0.0723627420663384,0.95,0.0008188024734978771
0,telugu,kannada,0.07786923050674123,0.07562889418179537,0.08011516232322168,0.95,0.001205338342715215
0,malayalam,kannada,0.09001700236685388,0.0875223728333972,0.09322027462481058,0.95,0.0014557563102905373
1,english,hindi,0.21927691137976285,0.21451307679089118,0.22482395860067864,0.95,0.0025354717464837954
1,english,marathi,0.2211534799696673,0.21698562652047984,0.22645437811277658,0.95,0.0025782622750820518
1,english,bengali,0.2607702396465249,0.25692332124023537,0.26520959302985336,0.95,0.0022939006164482516
1,english,gujarati,0.25511084232590103,0.25121043422356526,0.25921176630654874,0.95,0.002155012876723846
1,english,punjabi,0.223830262257877,0.21983886244045314,0.22877113279651123,0.95,0.002242337422795882
1,english,urdu,0.22730542262495057,0.22250843463518935,0.2315714524193843,0.95,0.002396030425585051
1,english,tamil,0.2668238631756795,0.26250849261062953,0.2711848696834036,0.95,0.0022241554808082476
1,english,telugu,0.29420545709357787,0.28930362688218075,0.2999555330029,0.95,0.0027820060630255545
1,english,malayalam,0.269471522887422,0.2645974054666186,0.27409820089769543,0.95,0.002495055595568912
1,english,kannada,0.2692041145962425,0.26515039053453515,0.274289935546724,0.95,0.002395838474339639
1,hindi,marathi,0.006219227778161822,0.00579140735431645,0.007158349614986559,0.95,0.00035986638198605024
1,hindi,bengali,0.023702331282804807,0.022699316529214357,0.024931913510639937,0.95,0.0005859454927155803
1,hindi,gujarati,0.028523801308543335,0.027347657229021743,0.030025812990646317,0.95,0.0007040569275636106
1,hindi,punjabi,0.03964186531281644,0.03838014827505668,0.04108401450182445,0.95,0.0007088072430882455
1,hindi,urdu,0.02941658964175359,0.028379668903303946,0.030688524382118252,0.95,0.0006548514856317527
1,hindi,tamil,0.041072435976195074,0.039696725918484124,0.04286160867254804,0.95,0.0007977652808992172
1,hindi,telugu,0.03655710032812094,0.03514348393120026,0.03828953541011037,0.95,0.0008168082554566084
1,hindi,malayalam,0.04670485145081881,0.04469436520808882,0.04926114431607556,0.95,0.0011585410969037113
1,hindi,kannada,0.04167332221018924,0.04027428544571479,0.04397420085301857,0.95,0.0009365188823056738
1,marathi,bengali,0.020489950685043824,0.019738982134616938,0.021791387494448578,0.95,0.0005169794521400614
1,marathi,gujarati,0.024907767389857397,0.023890874283106163,0.0262608027529057,0.95,0.0006260880944136823
1,marathi,punjabi,0.03911168774801246,0.03779943598050642,0.04087881365172153,0.95,0.0008169573824383727
1,marathi,urdu,0.03726014737761177,0.03588581296118348,0.039074473950710016,0.95,0.0008544980979630945
1,marathi,tamil,0.03656148699271108,0.03574154106431672,0.03807231396474029,0.95,0.0006199727935038498
1,marathi,telugu,0.03130946358953692,0.030381663065117775,0.03277237685447003,0.95,0.0006250852300016311
1,marathi,malayalam,0.045173337621441205,0.04336159310711972,0.047788149797686454,0.95,0.0011209721444895287
1,marathi,kannada,0.03949132501136682,0.03818089919269271,0.04132621028581856,0.95,0.0007761196914860434
1,bengali,gujarati,0.017364202854158215,0.01667410129053217,0.018473892411507636,0.95,0.0004289715009110558
1,bengali,punjabi,0.04402877357533022,0.0427259051374773,0.04625274119450342,0.95,0.0008600975345312626
1,bengali,urdu,0.04176025565704758,0.040249159423453675,0.0438381753010693,0.95,0.0009178941974074215
1,bengali,tamil,0.031498655940996115,0.030720709296883544,0.03273368506259642,0.95,0.0005360401888432104
1,bengali,telugu,0.018808134885533363,0.01812270803132088,0.019873597297681483,0.95,0.00045132959383483974
1,bengali,malayalam,0.024247559545268402,0.022925151739718232,0.025736400665615507,0.95,0.0007194004253459625
1,bengali,kannada,0.02587276161100584,0.024960360051644665,0.027179445297228506,0.95,0.0005528922276056175
1,gujarati,punjabi,0.042853817983200745,0.041358527116252555,0.04489320715840788,0.95,0.0008978703997723511
1,gujarati,urdu,0.044305760298200686,0.04241049876623727,0.04641469753082781,0.95,0.0010475759302075891
1,gujarati,tamil,0.03530664455770007,0.03422210541012247,0.036868519743209635,0.95,0.0006857984506565974
1,gujarati,telugu,0.02046294109043245,0.01966538113820868,0.02146819749799996,0.95,0.0004763332507476474
1,gujarati,malayalam,0.030138343903352294,0.0287960825846746,0.03206733071064886,0.95,0.0007993512575841232
